t=2025-07-26T14:44:19+0530 lvl=info msg="no configuration paths supplied"
t=2025-07-26T14:44:19+0530 lvl=info msg="using configuration at default config path" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-26T14:44:19+0530 lvl=info msg="open config file" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-26T14:44:19+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-26T14:44:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-26T14:44:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-26T14:55:02+0530 lvl=info msg="join connections" obj=join id=16133ec0f787 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:15188
t=2025-07-26T14:55:08+0530 lvl=info msg="join connections" obj=join id=94df5dbe5a29 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48722
t=2025-07-26T14:55:15+0530 lvl=info msg="join connections" obj=join id=052ab7619041 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48740
t=2025-07-26T14:55:20+0530 lvl=info msg="join connections" obj=join id=7453bc07ad1d l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:50514
t=2025-07-26T14:55:26+0530 lvl=info msg="join connections" obj=join id=b7497201a231 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:50516
t=2025-07-26T14:55:32+0530 lvl=info msg="join connections" obj=join id=340ede80704a l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:54716
t=2025-07-26T14:55:38+0530 lvl=info msg="join connections" obj=join id=0e6b7dded280 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:63002
t=2025-07-26T14:55:44+0530 lvl=info msg="join connections" obj=join id=3391f9699bec l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:63008
t=2025-07-26T14:55:50+0530 lvl=info msg="join connections" obj=join id=52978202a561 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:13050
t=2025-07-26T14:55:57+0530 lvl=info msg="join connections" obj=join id=e81b51331a18 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:13054
